,국가별수출입 실적,국가명,수출건수,수출금액
3363,2021.02,세인트 빈센트 그레나딘,                   1,                  99
3364,2021.03,세인트 빈센트 그레나딘,                   1,                  51
3365,2021.04,세인트 빈센트 그레나딘,                   5,                  78
3366,2021.05,세인트 빈센트 그레나딘,                   4,                  42
3367,2021.06,세인트 빈센트 그레나딘,                   3,                 141
3368,2021.07,세인트 빈센트 그레나딘,                   2,                 181
3369,2021.08,세인트 빈센트 그레나딘,                   8,                 700
3370,2021.09,세인트 빈센트 그레나딘,                   4,                 628
3371,2021.10,세인트 빈센트 그레나딘,                   1,                  19
3372,2021.11,세인트 빈센트 그레나딘,                   6,                  90
3373,2021.12,세인트 빈센트 그레나딘,                   4,                 171
3374,2022.01,세인트 빈센트 그레나딘,                   6,                 494
3375,2022.02,세인트 빈센트 그레나딘,                   9,                 590
3376,2022.03,세인트 빈센트 그레나딘,                   2,                 273
3377,2022.04,세인트 빈센트 그레나딘,                   3,                 282
3378,2022.05,세인트 빈센트 그레나딘,                   6,                 715
3379,2022.06,세인트 빈센트 그레나딘,                   4,                 348
3380,2022.07,세인트 빈센트 그레나딘,                   7,"               1,002"
3381,2020.01,세인트 키츠 네비스,                   1,                   2
3382,2020.02,세인트 키츠 네비스,                   1,                   2
3383,2020.03,세인트 키츠 네비스,                   2,                  69
3384,2020.04,세인트 키츠 네비스,                   3,                 126
3385,2020.05,세인트 키츠 네비스,                   4,                 101
3386,2020.06,세인트 키츠 네비스,                   4,"              18,807"
3387,2020.07,세인트 키츠 네비스,                   4,"              13,706"
3388,2020.08,세인트 키츠 네비스,                   7,                 266
3389,2020.09,세인트 키츠 네비스,                   2,                  28
3390,2020.10,세인트 키츠 네비스,                   3,                   9
